JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Senior Accountant,"Next Glass, Inc.","Remote in Charlotte, NC 28208",Posted 18 days ago,2022-06-25,"Prepare and/or review workpapers and schedules to ensure audit readiness. With recent Private Equity investment and five successful acquisitions, Next Glass is…",$78.7K - $99.7K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Staff Accountant,Wastequip,"Charlotte, NC 28211 (Barclay Downs area)",Posted 30 days ago,2022-06-25,Prepare weekly cash forecasting and authorization of vendor payments. Prepare journal entries and balance sheet reconciliations in support of month-end closing…,$69.2K - $87.6K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Project Accountant -Charlotte,Turner Construction Company,"Charlotte, NC",Posted 3 days ago,2022-06-25,"Perform client contract analysis to determine the billing deadlines, payments terms, billable and non-reimbursable expenses, agreements for insurance and fee…",$71.3K - $90.3K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Remote Senior Accountant,Lowe's,"Remote in Mooresville, NC 28117",Posted 28 days ago,2022-06-25,"Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience.",,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Accountant,Northwood Ravin,"Charlotte, NC 28202 (Downtown Charlotte area)",Posted 30+ days ago,2022-06-25,"Record monthly depreciation and amortization schedules. Prepare monthly operating financials for Residential properties (Operating Statements, Balance Sheets,…",$62K - $78.6K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Accountant,Sibelco Australia,"Charlotte, NC",Posted 17 days ago,2022-06-25,"As member of the Country Servicing Business Services Team, this role is responsible for recording accounting information, enter transactions, consolidate and…",$76.4K - $96.8K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Staff Accountant,Forvis,"Charlotte, NC 28209 (Barclay Downs area)",Posted 24 days ago,2022-06-25,"Experience with a professional services firm a plus. Knowledge of generally accepted accounting principles, and the procedures involved in accounting…",$72K - $91.2K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Accountant,Relation Insurance,"Charlotte, NC 28277 (Ballantyne East area)+1 location",Posted 30+ days ago,2022-06-25,Prepares schedules for year-end audit for independent external auditors. The Senior Accountant is primarily responsible for complex accounting activities…,$71.9K - $91.1K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Treasury Analyst,Ally Financial,"Hybrid remote in Charlotte, NC 28202+1 location",Posted 2 days ago,2022-06-25,Ally's compensation program offers market-competitive base pay and pay-for-performance incentives (bonuses) based on achieving personal and company goals.,,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Staff Accountant,Red Ventures,"Hybrid remote in Charlotte, NC+1 location",Posted 2 days ago,2022-06-25,"Experience with mergers, acquisitions and divestitures, a plus. This position will have an immediate impact on Red Ventures business units and daily exposure to…",$69.8K - $88.4K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Accountant,Hearst Media Services,"Charlotte, NC 28277 (Whiteoak area)",Posted 21 days ago,2022-06-25,You will be pivotal in improving the company’s financial processes.,$67.2K - $85K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Accountant,"MW Industries, Inc.","Charlotte, NC 28277 (Piper Glen Estates area)",Posted 30+ days ago,2022-06-25,"Manage credit card system and travel & expense reporting tool, including issuing and monitoring credit cards, in addition to processing expense reports and…",$63.1K - $79.9K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Accountant,Centene Corporation,"Hybrid remote in Charlotte, NC 28262",Posted 30+ days ago,2022-06-25,"Conduct special studies, develops, or recommends enhancements to accounting methods and procedures. Adapt accounting and recordkeeping functions to current…",,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Accountant,XPO Logistics,"Charlotte, NC 28277 (Ballantyne West area)",Posted 22 days ago,2022-06-25,"3 or more years of accounting or financial reporting experience, preferably with a Big Four accounting firm. Complete and/or oversee the monthly reconciliation…",,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Accountant,Colliers International,"Charlotte, NC",Posted 30+ days ago,2022-06-25,This position accounts for customers who require more complex accrual or GAAP basis financial accounting with complex financial reporting requirements.,,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Financial Accountant,WELLS FARGO BANK,"Charlotte, NC",Posted 7 days ago,2022-06-25,Act as a senior accountant for financial accounting related matters for lines of business and other control functions.,,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Accountant,Manulife,"Charlotte, NC",Posted 3 days ago,2022-06-25,The ideal candidate will be an experienced accountant with in-depth knowledge of U.S. MAS oversees the agricultural assets and operations for approximately 0.3…,,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Accountant - Corporate Accounting,Adams Outdoor,"Charlotte, NC 28262 (University City North area)",Posted 30+ days ago,2022-06-25,Prepares work papers for and interacts with the company's tax accountants. JOB SUMMARY: Responsible for accounting transactions and maintenance of books of…,$66.6K - $84.4K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Accountant,Xylem,"Charlotte, NC 28273 (Olde Whitehall area)",Posted 30+ days ago,2022-06-25,"Prepare journal entries and balance sheet reconciliations in support of month-end closing activities for multiple business units, ensuring proper documentation…",,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Senior Technical Accountant,Trane Technologies,"Davidson, NC 28036+1 location",Posted 30+ days ago,2022-06-25,"Minimum of 2 years of experience with a Big 4 firm, or similar roles in a Fortune 1000 company in a Technical Accounting and/or SEC reporting capacity.",,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
Assurance Senior Associate [Affordable Housing],CohnReznick,"Charlotte, NC 28202 (Fourth Ward area)",Today,2022-06-25,"Serving as the engagement lead on specific client accounts, taking responsibility for pre-engagement planning, execution and final deliverables.",$74.4K - $94.2K a year,https://www.indeed.com/rc/clk?jk=566afbc2856bde69&fccid=300be14ffee74507&vjs=3
